No,Name,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Total,,
1,???????,"130,757","113,175","207,246","156,437","114,294","57,422","69,303","64,072","55,369","120,310","116,129","71,859","1,276,373",,
2,??????,"1,866",893,"1,931","1,897","1,061","1,350","7,170","1,264",901,"1,084",966,628,"21,011",,
3,???????,"21,160","9,184","6,283","5,060","1,456",597,"1,331","1,332","6,750","23,771","8,536","6,344","91,804",,
4,???????,15,13,300,280,141,130,7,12,9,7,13,9,936,,
5,?????????????,"6,727","2,108","2,838","2,326","1,073","1,422","1,404","1,572","1,319","3,254","2,195","3,196","29,434",,
6,????????????????,"46,898","45,025","67,148","59,237","33,573","48,552","91,708","65,071","21,037","47,468","35,014","22,281","583,012",,
7,????????????,"24,108","21,733","31,517","29,585","26,854","23,542","29,468","29,620","11,024","19,697","22,533","9,936","279,617",,
8,???????????-?????????????,"22,596","16,928","27,685","29,224","28,683","34,559","42,789","44,312","22,463","23,675","20,181","20,216","333,311",,
9,??????????,"45,546","28,271","51,797","47,931","45,018","104,525","131,729","92,911","28,673","39,311","31,383","20,370","667,465",,
10,????????-?????,"22,600","16,553","17,891","13,559","9,741","9,991","19,742","10,172","9,844","19,082","17,507","9,980","176,662",,
11,??????????,"13,499","10,082","15,219","12,030","14,778","25,481","28,537","15,626","5,884","8,203","8,850","5,489","163,678",,
12,?????????????,"3,637","2,112","2,069","1,854",889,"1,664","4,105","1,513","1,043","1,401","1,082",864,"22,233",,
13,?????????????,396,295,680,"1,272",370,247,543,253,135,242,349,283,"5,065",,
14,?????????????????,"18,606","9,001","22,148","21,224","6,167","3,003","11,938","8,558","3,809","9,528","6,461","4,455","124,898",,
15,???????,"61,035","53,164","74,183","71,931","53,799","44,986","77,420","64,654","32,586","68,923","57,314","31,726","691,721",,
16,??????,"13,341","11,852","18,572","20,111","10,705","9,008","18,239","14,595","6,358","15,429","11,366","6,540","156,116",,
17,???????,"4,330","3,484","8,387","6,413","2,555",823,"1,670","1,529",864,"2,318","1,539","1,383","35,295",,
18,?????????????????,"3,454","2,578","3,711","4,460","2,718","1,221","3,642","1,780","1,476","3,437","2,422","1,294","32,193",,
19,?????????,"3,581","3,291","7,365","5,805","2,989","1,217","2,546","2,981","1,470","4,397","2,456","2,445","40,543",,
20,????????,0,102,289,460,271,727,"1,295",259,38,57,0,0,"3,498",,
21,????????????????????????,"5,459","5,456","5,175","5,574","3,250","2,784","4,194","2,960","2,684","3,690","3,873","3,729","48,828",,
22,?????,792,795,"3,482","2,247",644,242,334,156,139,383,766,442,"10,422",,
23,??????????,"8,882","13,697","26,414","22,769","12,998","7,990","12,986","14,238","9,860","15,001","6,644","3,901","155,380",,
24,???????,824,614,"1,203","1,288",886,808,678,557,445,"1,079","1,038",617,"10,037",,
25,?????????????,"12,719","7,357","15,532","15,068","11,366","12,098","18,837","16,353","6,856","13,285","10,198","5,954","145,623",,
26,????????????,"2,691","2,063","3,017","3,080","1,817","1,075","1,344","1,002",605,"2,151","1,563","1,061","21,469",,
27,???????,"2,337",998,"3,793","3,190","1,709","2,169","7,823","4,065","1,308","2,115","1,541",805,"31,853",,
28,?????,"18,147","16,024","23,823","30,594","32,924","40,900","49,086","33,057","18,953","32,977","28,445","17,214","342,144",,
29,???????????????,"8,281",0,"5,420","11,302","14,613","13,517","15,622","12,831","11,401","18,319","21,469","16,411","149,186",,
30,?????????????,"2,524","1,168","2,429","3,637","2,767","2,873","3,196","2,188",809,"1,886","1,506",876,"25,859",,
31,??????,"1,412","1,148","2,976","7,716","1,904","2,381","10,533","3,744",558,847,452,296,"33,967",,
32,??????????,"1,747",371,"2,658","6,256","2,041","3,661","8,008","2,432",799,"1,440","1,353",874,"31,640",,
33,?????????,"8,003","4,570","7,881","11,388","5,634","5,687","8,085","4,619","4,001","7,761","5,339","5,372","78,340",,
34,????????,0,3,17,193,54,71,94,60,2,13,47,93,647,,
35,???????,22,18,332,411,49,79,66,17,13,27,49,107,"1,190",,
36,????????-?????????,"5,038","5,345","7,406","6,064","5,355","5,066","3,689","2,967","3,192","5,046","5,671","4,868","59,707",,
37,????????????,"2,803","1,212","1,578","1,642",786,304,549,427,610,"1,563",922,746,"13,142",,
38,?????????????,10,58,174,108,80,42,121,59,0,0,0,29,681,,
39,???????,"4,991",640,"4,790","12,246","4,685","14,393","41,667","12,498","2,879","4,595","3,659","4,197","111,240",,
40,??????????????-????????????,"68,677","103,172","145,404","161,510","166,395","180,013","192,470","151,017","131,955","164,703","139,906","126,351","1,731,573",,
41,?????????,"31,559","48,812","91,048","145,691","151,764","145,428","136,233","117,055","106,123","136,290","151,974","109,764","1,371,741",,
42,????????????????,936,"4,289","8,426","8,636","8,755","10,258","9,084","1,773",0,0,0,0,"52,157",,
43,???????????????,"13,788","43,665","71,832","85,281","92,665","76,697","79,842","27,143",0,0,0,0,"490,913",,
44,??????????,"6,556","4,041","11,338","16,172","7,731","10,289","18,767","8,191",504,862,401,579,"85,431",,
45,???????,"5,561","13,305","22,854","19,527","23,565","130,399","33,050","14,855",0,0,0,80,"263,196",,
46,?????????????,"7,405","13,769","18,677","21,362","21,181","18,627","18,180","11,342","4,008","6,934","6,945","4,149","152,579",,
47,???????,"3,173","1,976","3,735","4,073","2,673","3,095","3,672","2,284","1,756","1,878","2,351","1,420","32,086",,
